dataset,scenario,seed,split,model,metric,accuracy,balanced_accuracy,macro_f1,fit_seconds,predict_seconds,total_seconds,device,train_size,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,random_state,test_size_ratio,data_cache,input_representation,notes
adult,full_train_reference,43,adult_fixed_test_seed43_full_train,XGBoost,accuracy,0.8781,0.8035,0.8218,1.2007,0.0499,1.2506,cpu,39073,9769,48842,14,6,8,105,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,43,adult_fixed_test_seed43_full_train,TabPFN v2,accuracy,0.8654,0.7846,0.8026,1.3818,81.7685,83.1503,cuda,39073,9769,48842,14,6,8,14,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
adult,full_train_reference,43,adult_fixed_test_seed43_full_train,TabICL,accuracy,0.8717,0.7891,0.81,0.7492,31.4507,32.1999,cuda,39073,9769,48842,14,6,8,14,43,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
adult,full_train_reference,44,adult_fixed_test_seed44_full_train,LightGBM,accuracy,0.8721,0.7968,0.8138,0.7415,0.0977,0.8392,cpu,39073,9769,48842,14,6,8,104,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,44,adult_fixed_test_seed44_full_train,XGBoost,accuracy,0.8695,0.7868,0.8071,1.1412,0.0522,1.1935,cpu,39073,9769,48842,14,6,8,104,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,44,adult_fixed_test_seed44_full_train,TabPFN v2,accuracy,0.8597,0.7682,0.79,1.3348,78.42,79.7547,cuda,39073,9769,48842,14,6,8,14,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
adult,full_train_reference,44,adult_fixed_test_seed44_full_train,TabICL,accuracy,0.872,0.7919,0.8115,0.7232,20.6995,21.4227,cuda,39073,9769,48842,14,6,8,14,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
adult,full_train_reference,45,adult_fixed_test_seed45_full_train,LightGBM,accuracy,0.8773,0.8002,0.8197,0.7528,0.0961,0.8489,cpu,39073,9769,48842,14,6,8,105,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,45,adult_fixed_test_seed45_full_train,XGBoost,accuracy,0.8765,0.7966,0.8176,1.1296,0.0507,1.1803,cpu,39073,9769,48842,14,6,8,105,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,45,adult_fixed_test_seed45_full_train,TabPFN v2,accuracy,0.8633,0.7784,0.798,1.3355,82.923,84.2585,cuda,39073,9769,48842,14,6,8,14,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
adult,full_train_reference,45,adult_fixed_test_seed45_full_train,TabICL,accuracy,0.8693,0.8113,0.8171,0.736,36.3559,37.0919,cuda,39073,9769,48842,14,6,8,14,45,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
adult,full_train_reference,46,adult_fixed_test_seed46_full_train,LightGBM,accuracy,0.8734,0.8013,0.8167,0.7556,0.1081,0.8637,cpu,39073,9769,48842,14,6,8,105,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,46,adult_fixed_test_seed46_full_train,XGBoost,accuracy,0.8729,0.7957,0.8139,1.1999,0.058,1.2579,cpu,39073,9769,48842,14,6,8,105,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,46,adult_fixed_test_seed46_full_train,TabPFN v2,accuracy,0.8633,0.7766,0.7972,1.4723,82.3844,83.8567,cuda,39073,9769,48842,14,6,8,14,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
adult,full_train_reference,46,adult_fixed_test_seed46_full_train,TabICL,accuracy,0.8677,0.8084,0.8146,0.7423,29.0095,29.7518,cuda,39073,9769,48842,14,6,8,14,46,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
bank_marketing,control_10k,42,bank_marketing_fixed_test_seed42_train10000,LightGBM,accuracy,0.9043,0.7048,0.7338,0.2289,0.0821,0.311,cpu,10000,9043,45211,16,7,9,51,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,42,bank_marketing_fixed_test_seed42_train10000,XGBoost,accuracy,0.9047,0.6964,0.7287,0.2853,0.045,0.3303,cpu,10000,9043,45211,16,7,9,51,42,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
