dataset,scenario,seed,split,model,metric,accuracy,fit_seconds,predict_seconds,total_seconds,device,train_size,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,random_state,test_size_ratio,data_cache,input_representation,notes
adult,full_train_reference,44,adult_fixed_test_seed44_full_train,XGBoost,accuracy,0.8695,1.6176,0.1068,1.7243,cpu,39073,9769,48842,14,6,8,104,44,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,44,adult_fixed_test_seed44_full_train,TabPFN v2,accuracy,0.8597,2.0826,79.6993,81.782,cuda,39073,9769,48842,14,6,8,14,44,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
adult,full_train_reference,44,adult_fixed_test_seed44_full_train,TabICL,accuracy,0.872,0.7686,29.86,30.6286,cuda,39073,9769,48842,14,6,8,14,44,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
adult,full_train_reference,45,adult_fixed_test_seed45_full_train,LightGBM,accuracy,0.8773,1.0371,0.1114,1.1485,cpu,39073,9769,48842,14,6,8,105,45,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,45,adult_fixed_test_seed45_full_train,XGBoost,accuracy,0.8765,1.3007,0.0583,1.359,cpu,39073,9769,48842,14,6,8,105,45,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,45,adult_fixed_test_seed45_full_train,TabPFN v2,accuracy,0.8633,1.618,79.8174,81.4354,cuda,39073,9769,48842,14,6,8,14,45,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
adult,full_train_reference,45,adult_fixed_test_seed45_full_train,TabICL,accuracy,0.8693,0.7844,25.1715,25.9559,cuda,39073,9769,48842,14,6,8,14,45,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
adult,full_train_reference,46,adult_fixed_test_seed46_full_train,LightGBM,accuracy,0.8734,0.8177,0.1044,0.9221,cpu,39073,9769,48842,14,6,8,105,46,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,46,adult_fixed_test_seed46_full_train,XGBoost,accuracy,0.8729,1.2654,0.0608,1.3263,cpu,39073,9769,48842,14,6,8,105,46,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
adult,full_train_reference,46,adult_fixed_test_seed46_full_train,TabPFN v2,accuracy,0.8633,1.821,79.4117,81.2327,cuda,39073,9769,48842,14,6,8,14,46,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
adult,full_train_reference,46,adult_fixed_test_seed46_full_train,TabICL,accuracy,0.8677,0.957,27.8675,28.8246,cuda,39073,9769,48842,14,6,8,14,46,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
bank_marketing,control_10k,42,bank_marketing_fixed_test_seed42_train10000,LightGBM,accuracy,0.9043,0.2871,0.0942,0.3814,cpu,10000,9043,45211,16,7,9,51,42,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
