dataset,train_size_label,train_size,seed,split,model,metric,accuracy,balanced_accuracy,macro_f1,fit_seconds,predict_seconds,total_seconds,device,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,random_state,test_size_ratio,data_cache,input_representation,notes
adult,2048,2048,43,adult_fixed_test_seed43_train2048,XGBoost,accuracy,0.8564,0.7822,0.7941,0.1326,0.0491,0.1817,cpu,9769,48842,14,6,8,99,43,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
adult,2048,2048,43,adult_fixed_test_seed43_train2048,TabPFN v2,accuracy,0.8548,0.7775,0.7907,0.1204,3.5965,3.717,cuda,9769,48842,14,6,8,14,43,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; trained within TabPFN support range.
adult,2048,2048,43,adult_fixed_test_seed43_train2048,TabICL,accuracy,0.8572,0.7802,0.7938,0.4057,1.9491,2.3548,cuda,9769,48842,14,6,8,14,43,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,2048,2048,44,adult_fixed_test_seed44_train2048,LightGBM,accuracy,0.8375,0.7488,0.7631,0.0856,0.1158,0.2014,cpu,9769,48842,14,6,8,100,44,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
adult,2048,2048,44,adult_fixed_test_seed44_train2048,XGBoost,accuracy,0.8502,0.756,0.7763,0.1302,0.0491,0.1793,cpu,9769,48842,14,6,8,100,44,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
adult,2048,2048,44,adult_fixed_test_seed44_train2048,TabPFN v2,accuracy,0.849,0.7574,0.7761,0.1236,3.6175,3.7411,cuda,9769,48842,14,6,8,14,44,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; trained within TabPFN support range.
adult,2048,2048,44,adult_fixed_test_seed44_train2048,TabICL,accuracy,0.8502,0.7601,0.7785,0.3951,1.9769,2.372,cuda,9769,48842,14,6,8,14,44,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,2048,2048,45,adult_fixed_test_seed45_train2048,LightGBM,accuracy,0.8481,0.7605,0.777,0.0872,0.1128,0.2,cpu,9769,48842,14,6,8,96,45,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
adult,2048,2048,45,adult_fixed_test_seed45_train2048,XGBoost,accuracy,0.8626,0.7708,0.7937,0.1338,0.0536,0.1874,cpu,9769,48842,14,6,8,96,45,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
adult,2048,2048,45,adult_fixed_test_seed45_train2048,TabPFN v2,accuracy,0.8582,0.7645,0.787,0.1405,3.8031,3.9436,cuda,9769,48842,14,6,8,14,45,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; trained within TabPFN support range.
adult,2048,2048,45,adult_fixed_test_seed45_train2048,TabICL,accuracy,0.8591,0.7674,0.7892,0.393,2.0413,2.4343,cuda,9769,48842,14,6,8,14,45,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,2048,2048,46,adult_fixed_test_seed46_train2048,LightGBM,accuracy,0.8464,0.7652,0.7781,0.0838,0.1151,0.1989,cpu,9769,48842,14,6,8,96,46,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
adult,2048,2048,46,adult_fixed_test_seed46_train2048,XGBoost,accuracy,0.8579,0.7734,0.7912,0.1243,0.0514,0.1757,cpu,9769,48842,14,6,8,96,46,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=2048 and the fixed Phase 4 baseline settings.
adult,2048,2048,46,adult_fixed_test_seed46_train2048,TabPFN v2,accuracy,0.8588,0.7735,0.792,0.1369,3.8243,3.9612,cuda,9769,48842,14,6,8,14,46,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; trained within TabPFN support range.
adult,2048,2048,46,adult_fixed_test_seed46_train2048,TabICL,accuracy,0.86,0.7746,0.7934,0.4688,2.0673,2.5361,cuda,9769,48842,14,6,8,14,46,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=2048; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,8192,8192,42,adult_fixed_test_seed42_train8192,LightGBM,accuracy,0.8666,0.7916,0.8067,0.2153,0.093,0.3083,cpu,9769,48842,14,6,8,104,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=8192 and the fixed Phase 4 baseline settings.
adult,8192,8192,42,adult_fixed_test_seed42_train8192,XGBoost,accuracy,0.8682,0.7898,0.8073,0.3451,0.0494,0.3945,cpu,9769,48842,14,6,8,104,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=8192 and the fixed Phase 4 baseline settings.
adult,8192,8192,42,adult_fixed_test_seed42_train8192,TabPFN v2,accuracy,0.8612,0.7811,0.7975,0.3107,10.1527,10.4634,cuda,9769,48842,14,6,8,14,42,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=8192; trained within TabPFN support range.
