dataset,seed,split,strategy,strategy_display,budget,requested_budget,actual_support_size,support_class_counts,model,metric,accuracy,balanced_accuracy,macro_f1,fit_seconds,predict_seconds,total_seconds,device,full_train_size,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,retrieval_n_features_after_encoding,random_state,test_size_ratio,data_cache,input_representation,selection_method,notes
adult,44,adult_fixed_test_seed44_phase6_support_selection,full_context,Full Context,full,39073,39073,"{""<=50K"": 29724, "">50K"": 9349}",TabICL,accuracy,0.872,0.7919,0.8115,0.7422,23.2843,24.0266,cuda,39073,9769,48842,14,6,8,14,,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),full_context,Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Full Context. Full Context uses the complete seed-specific training split as a budget-independent reference with support_size=39073.
adult,44,adult_fixed_test_seed44_phase6_support_selection,random_subset,Random Subset,512,512,512,"{""<=50K"": 382, "">50K"": 130}",TabICL,accuracy,0.8435,0.7492,0.7676,0.3262,3.0193,3.3455,cuda,39073,9769,48842,14,6,8,14,,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),random_subset,Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Random Subset. Random Subset samples budget=512 examples without replacement from the training split using the experiment seed.
adult,44,adult_fixed_test_seed44_phase6_support_selection,balanced_random_subset,Balanced Random Subset,512,512,512,"{""<=50K"": 256, "">50K"": 256}",TabICL,accuracy,0.8014,0.8155,0.764,0.4168,3.0533,3.4701,cuda,39073,9769,48842,14,6,8,14,,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),balanced_random_subset,"Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Balanced Random Subset. Balanced Random Subset uses the frozen class quota rule, then samples within each class for budget=512 using the experiment seed."
adult,44,adult_fixed_test_seed44_phase6_support_selection,balanced_prototype_retrieval,Balanced Prototype Retrieval,512,512,512,"{""<=50K"": 256, "">50K"": 256}",TabICL,accuracy,0.7032,0.7047,0.6577,0.388,2.9148,3.3028,cuda,39073,9769,48842,14,6,8,14,104.0,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),balanced_prototype_retrieval,"Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Balanced Prototype Retrieval. Balanced Prototype Retrieval uses train-only median/mode imputation, numeric standardization, one-hot categorical encoding, Euclidean distance to class centers, and the frozen class quota rule for budget=512."
adult,44,adult_fixed_test_seed44_phase6_support_selection,random_subset,Random Subset,2048,2048,2048,"{""<=50K"": 1590, "">50K"": 458}",TabICL,accuracy,0.8523,0.7528,0.7761,0.3854,2.126,2.5114,cuda,39073,9769,48842,14,6,8,14,,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),random_subset,Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Random Subset. Random Subset samples budget=2048 examples without replacement from the training split using the experiment seed.
adult,44,adult_fixed_test_seed44_phase6_support_selection,balanced_random_subset,Balanced Random Subset,2048,2048,2048,"{""<=50K"": 1024, "">50K"": 1024}",TabICL,accuracy,0.8064,0.8237,0.7704,0.4233,2.1444,2.5677,cuda,39073,9769,48842,14,6,8,14,,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),balanced_random_subset,"Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Balanced Random Subset. Balanced Random Subset uses the frozen class quota rule, then samples within each class for budget=2048 using the experiment seed."
adult,44,adult_fixed_test_seed44_phase6_support_selection,balanced_prototype_retrieval,Balanced Prototype Retrieval,2048,2048,2048,"{""<=50K"": 1024, "">50K"": 1024}",TabICL,accuracy,0.7316,0.7661,0.6981,0.3966,2.0155,2.4121,cuda,39073,9769,48842,14,6,8,14,104.0,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),balanced_prototype_retrieval,"Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Balanced Prototype Retrieval. Balanced Prototype Retrieval uses train-only median/mode imputation, numeric standardization, one-hot categorical encoding, Euclidean distance to class centers, and the frozen class quota rule for budget=2048."
adult,44,adult_fixed_test_seed44_phase6_support_selection,random_subset,Random Subset,8192,8192,8192,"{""<=50K"": 6227, "">50K"": 1965}",TabICL,accuracy,0.8598,0.7837,0.7975,0.4659,4.1887,4.6546,cuda,39073,9769,48842,14,6,8,14,,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),random_subset,Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Random Subset. Random Subset samples budget=8192 examples without replacement from the training split using the experiment seed.
adult,44,adult_fixed_test_seed44_phase6_support_selection,balanced_random_subset,Balanced Random Subset,8192,8192,8192,"{""<=50K"": 4096, "">50K"": 4096}",TabICL,accuracy,0.815,0.8334,0.78,0.4886,4.3361,4.8247,cuda,39073,9769,48842,14,6,8,14,,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),balanced_random_subset,"Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Balanced Random Subset. Balanced Random Subset uses the frozen class quota rule, then samples within each class for budget=8192 using the experiment seed."
adult,44,adult_fixed_test_seed44_phase6_support_selection,balanced_prototype_retrieval,Balanced Prototype Retrieval,8192,8192,8192,"{""<=50K"": 4096, "">50K"": 4096}",TabICL,accuracy,0.645,0.7271,0.6267,0.445,4.3455,4.7904,cuda,39073,9769,48842,14,6,8,14,104.0,44,0.2,/home/mr/src/Tabular_Foundation_Models/data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),balanced_prototype_retrieval,"Phase 6 Big Plus smoke/mainline row for Adult + TabICL support-set selection; strategy=Balanced Prototype Retrieval. Balanced Prototype Retrieval uses train-only median/mode imputation, numeric standardization, one-hot categorical encoding, Euclidean distance to class centers, and the frozen class quota rule for budget=8192."
